29/08/17;29/12/17;538;15h17m;604;12h0m
29/08/17;30/12/17;524;17h15m;623;12h0m
29/08/17;31/12/17;526;16h17m;623;12h0m
29/08/17;01/01/18;526;16h27m;719;12h0m
29/08/17;02/01/18;526;16h12m;719;12h0m
29/08/17;03/01/18;603;16h17m;719;12h0m
29/08/17;04/01/18;635;16h17m;719;12h0m
30/08/17;29/12/17;538;16h2m;604;12h0m
30/08/17;30/12/17;526;16h17m;623;12h0m
30/08/17;31/12/17;526;16h17m;623;12h0m
30/08/17;01/01/18;553;14h0m;719;12h0m
30/08/17;02/01/18;554;32h27m;719;12h0m
30/08/17;03/01/18;603;16h17m;719;12h0m
30/08/17;04/01/18;635;16h17m;719;12h0m
31/08/17;29/12/17;553;16h17m;604;12h0m
31/08/17;30/12/17;526;16h17m;623;12h0m
31/08/17;31/12/17;526;16h17m;623;12h0m
31/08/17;01/01/18;553;14h0m;719;12h0m
31/08/17;02/01/18;554;32h27m;719;12h0m
31/08/17;03/01/18;603;16h17m;719;12h0m
31/08/17;04/01/18;635;16h17m;719;12h0m
01/09/17;29/12/17;538;23h57m;604;12h0m
01/09/17;30/12/17;526;16h17m;623;12h0m
01/09/17;31/12/17;526;16h17m;623;12h0m
01/09/17;01/01/18;557;21h45m;719;12h0m
01/09/17;02/01/18;557;21h45m;719;12h0m
01/09/17;03/01/18;603;16h17m;719;12h0m
01/09/17;04/01/18;635;16h17m;719;12h0m
02/09/17;29/12/17;538;16h2m;667;12h0m
02/09/17;30/12/17;526;16h17m;686;12h0m
02/09/17;31/12/17;470;15h15m;686;12h0m
02/09/17;01/01/18;470;15h15m;782;12h0m
02/09/17;02/01/18;549;16h12m;782;12h0m
02/09/17;03/01/18;603;16h17m;782;12h0m
02/09/17;04/01/18;634;15h15m;782;12h0m